,ci_name,location_full
69,B201V05_T,EUROPE/ITALY/CASSANO SPINOLA/VILLA ROQUETTE - FORMAZIONE/UTILIZZATORI/SALONE P.T
70,B201V06,EUROPE/ITALY/CASSANO SPINOLA
71,B201V06_T,EUROPE/ITALY/CASSANO SPINOLA/VILLA ROQUETTE - FORMAZIONE/UTILIZZATORI/AULA 5
72,B202V04_T,EUROPE/SPAIN/BENIFAYO ESPANA
73,B210V04_T,AMERICA/USA/KEOKUK
74,B221V01,AMERICA/Mexique/QUERETARO
75,B221V01_T,AMERICA/Mexique/QUERETARO
76,B244V03,ASIA/CHINA/WUHAN/[B10]
77,B244V03_T,ASIA/CHINA/WUHAN/[B10]
78,B252V06,ASIA/CHINA/SHANGHAI
79,B252V06_T,ASIA/CHINA/SHANGHAI
80,B252V07,ASIA/CHINA/SHANGHAI
81,B252V07_T,ASIA/CHINA/SHANGHAI
82,B252V08,ASIA/CHINA/SHANGHAI
83,B252V08_T,ASIA/CHINA/SHANGHAI
84,B260V01,ASIA/CHINA/ST-PLANT
85,B260V03,ASIA/CHINA/ST-PLANT
86,B260V04,ASIA/CHINA/ST-PLANT/BLD19#A
87,B260V04_T,ASIA/CHINA/ST-PLANT
88,B260V05,ASIA/CHINA/ST-PLANT
89,B260V05_T,ASIA/CHINA/ST-PLANT
90,B260V06,ASIA/CHINA/ST-PLANT
91,B260V06_T,ASIA/CHINA/ST-PLANT
92,B260V07,ASIA/CHINA/ST-PLANT/BLD50
93,B260V07_T,ASIA/CHINA/ST-PLANT/BLD50
94,B260V08,ASIA/CHINA/ST-PLANT
95,B260V08_T,ASIA/CHINA/ST-PLANT
96,B260V09,ASIA/CHINA/ST-PLANT
97,B260V10,ASIA/CHINA/ST-PLANT/BLD19#A
98,B260V10_T,ASIA/CHINA/ST-PLANT/BLD19#A
99,B273V07,INDIA/INDIA/MUMBAI
100,B273V07_T,INDIA/INDIA/MUMBAI
101,B275V01,INDIA/INDIA/VIRAMGAM
102,B276V02,INDIA/INDIA/GOKAK
103,B276V02_T,INDIA/INDIA/GOKAK
104,B288V01,ASIA/CHINA/SHANGHAI/RSS/HUADA OFFICE
105,B288V01_T,ASIA/CHINA/SHANGHAI/RSS/HUADA OFFICE
106,B288V02,ASIA/CHINA/SHANGHAI/RSS/HUADA OFFICE
107,B288V02_T,ASIA/CHINA/SHANGHAI/RSS/HUADA OFFICE
108,B288V03,ASIA/CHINA/SHANGHAI/RSS/HUADA OFFICE
109,B288V03_T,ASIA/CHINA/SHANGHAI/RSS/HUADA OFFICE
110,B288V04,ASIA/CHINA/SHANGHAI/RSS/HUADA OFFICE
111,B288V04_T,ASIA/CHINA/SHANGHAI/RSS/HUADA OFFICE
112,BAI0021,EUROPE/SPAIN/BENIFAYO ESPANA/SALA SERVIDORES MANTENIMIENTO
113,BAI0081,EUROPE/SPAIN/BENIFAYO ESPANA/SALA SERVIDORES DSIC
114,BAI2000,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/H5
115,BAI20004,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D15
116,BAI20004-CT0,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D15
117,BAI20004-CT1,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D15
118,BAI20010,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D23
119,BAI20011,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D23
120,BAI20012,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D22
121,BAI20013,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D22
122,BAI2005,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/H16
123,BAI2007,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/H15
124,BAI2007A,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/H15
125,BAI2007B,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/H15
126,BAI2350,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/I9
127,BAI23504,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P13
128,BAI23504-CT0,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P13
129,BAI23504-CT1,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P13
130,BAI23510,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L06
131,BAI23511,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L06
132,BAI23512,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L07
133,BAI23513,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L07
134,BAI2355,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/S12
135,BAI2357,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/S12
136,BAI2357A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/S12
137,BAI2357B,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/S12
138,BAI2358A,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/S11
139,BAI2358B,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/S11
140,BAI2358C,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/S11
141,BAI2358D,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/S11
142,BAI2358E,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/S11
143,BAI235Z,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L10
144,BAI270,EUROPE/FRANCE/LESTREM/CSU
145,BAI3001,EUROPE/FRANCE/VECQUEMONT/ADMINISTRATIF/N 1/LOCAL TECHNIQUE 1
146,BAI3041,EUROPE/FRANCE/VECQUEMONT/LOGISTIQUE/N 0/LOCAL TECHNIQUE 5
147,BAI4011,EUROPE/FRANCE/VIC SUR AISNE/ADMINISTRATIF/N 0/SALLE INFORMATIQUE 2
148,BAI4031,EUROPE/FRANCE/VIC SUR AISNE/MAGASIN/N 1/SALLE INFORMATIQUE 4
149,BAI5001,EUROPE/FRANCE/BEINHEIM/SERVICES TECHNIQUES/N 1/LOCAL TECHNIQUE 600
150,BAI5011,EUROPE/FRANCE/BEINHEIM/MAGASIN PRODUITS FINIS/N 0/LOCAL TECH 601 COMPUTER ROOM
151,BAI6001,EUROPE/ITALY/CASSANO SPINOLA/UFFICI VECCHI/P 0/RETE
152,BAI6021,EUROPE/ITALY/CASSANO SPINOLA/UFFICI TECNICI/P 1/RETE
153,BAI8001,AMERICA/USA/KEOKUK/SECURITY CENTER Building 135
154,BAI8511,AMERICA/USA/KEOKUK/EXCHANGE OFFICE/1FL/COMPUTER ROOM/S4
155,BAI8551,AMERICA/USA/GURNEE/GURNEE IL 60031/OFFICE/[I.T. Room 855]
156,BAI8561,AMERICA/USA/GURNEE/GURNEE IL 60031/PLANT/[Liquid Bldg Rack 856]
157,BAIA371,ASIA/CHINA/ST-PLANT/BLD19#A
158,BAIA381,ASIA/CHINA/ST-PLANT/BLD28
159,BAIE141,INDIA/INDIA/MUMBAI
160,BAIU651,AMERICA/CANADA/PORTAGE LA PRAIRIE/[[MAIN GUARD HOUSE 1 & TRUCKS RECEPTION]]/[[I.T. ROOM]]/[[IT Rack 4]]
161,BAIU701,AMERICA/CANADA/PORTAGE LA PRAIRIE/[[ADMIN BUILDING]]/[[I.T. Room]]/[[[IT Rack 4]]
162,BEINHEIM_VISIO,EUROPE/FRANCE/BEINHEIM
163,C101A004,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-GEO-101
164,C101A006,EUROPE/FRANCE/LESTREM
165,C101A207,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-GEO-101
166,C101A208,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-GEO-101
167,C101A216,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-GEO-101
168,C101A219,EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/CLU-LOC-DEV-200
169,C101A220,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-GEO-101
170,C101A221,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-GEO-101A
171,C101A222,EUROPE/FRANCE/LESTREM/SALLE INFORMATIQUE/CLU-GEO-101
172,C102V001,EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/CLU-LOC-INT-235
173,C210C226,AMERICA/USA/KEOKUK
